,id_поста,text_tokens,text_length,preprocessed_comments
103,15276,,0,"[('подъём хороший далеко мочь уйти обувь', 6), ('ахааххахахахах', 1), ('красивый девушка познакомиться арт м', 5), ('туфля', 1)]"
104,15267,кривцов доказать теорема минута который чел хуярить год век,9,"[('мем глаз родиться', 3), ('молодой мем достигнуть успех гордиться', 5)]"
105,15260,простой анон,2,"[('ладный', 1), ('', 0), ('', 0), ('мнр', 1)]"
106,15247,связь последний новость,3,"[('середина лишний', 2), ('кутаба долма азербайджанский блюдо', 4)]"
107,15231,,0,"[('ч смысл', 2), ('', 0)]"
108,15221,мат анализ физика глаз гуманитарий,5,"[('', 0), ('лола сегодня фигна й заниматься', 5), ('', 0), ('пытаться прочитать надпись сон', 4), ('', 0), ('идеальный ос идеальный язык программирование глаз гуманитарий', 7), ('изучать матан получить образование изучать матан делать мем разный уровень', 10), ('функан глаз выглядеть', 3)]"
109,15201,вуз переходить дистанционка итмый,4,"[('первак сделать мем гордиться', 4), ('страшно лайкать отчислить', 3), ('', 0), ('пхахха', 1), ('радовать', 1), ('сука', 1), ('весь вуз', 2), ('политех лодка', 2), ('чубайс минималка', 2), ('', 0)]"
110,15190,приходить армянин принтер духовка печатать,5,"[('знать мангал никакой духовка сравниться', 5), ('сель сгореть', 2), ('неклассический', 1), ('', 0)]"
111,15174,тиндёр мочь хороший анон,4,"[('почему контакт замазать', 3), ('контакт замазать', 2), ('человек недрочабрь делать', 3), ('ч м профит', 3), ('пост раздел нужный отдельный рубрика', 5), ('тиндёр искать серь зный отношение', 5)]"
112,15159,,0,"[('кандидат итмем получаться', 3), ('никита аграшенков волан морт', 4), ('ждать полить координата', 3), ('победить', 1), ('человек', 1)]"
113,15147,,0,"[('реально шатать вместе прокторинг', 4), ('сюда повреждение запись камера незачёт', 5), ('', 0), ('политех', 1)]"
114,15140,,0,"[('', 0), ('', 0), ('четверг', 1), ('человек закрыться комиссия летний каникулы', 5), ('путин отдыхать', 2)]"
115,15127,,0,"[('ебать круто', 2), ('автомат получаться', 2), ('соболезновать', 1), ('шутка дааа', 2), ('институт плый мужской отношение', 4), ('пост должный делать переспать свой студентка антон умолять', 8)]"
116,15114,анон,1,"[('хотеть дистант', 2), ('хотеть очко', 2), ('дистант наш время называться дистанционка необразованный молодёжь', 7), ('дистант', 1), ('итмый би лайна', 3), ('дистант', 1), ('гендер', 1)]"
117,15102,приша л комиссия,3,"[('смешно', 1), ('', 0)]"
118,15098,,0,"[('', 0), ('обратиться студофис', 2), ('военмеховец почему вк считать итмый', 5), ('', 0)]"
119,15096,,0,"[('', 0), ('прочитать мем итмем', 3)]"
120,15091,,0,[]
121,15087,доктор гопка,2,"[('хороший мем паблик', 3)]"
122,15079,,0,"[('последний год принимать алгос иса', 5)]"
123,15072,,0,"[('итм сделать ранний должный наоборот', 5), ('институт плый мужской отношение', 4)]"
124,15066,,0,"[('', 0)]"
125,15065,,0,"[('чета понять мем объяснить плиз эт неудивительный фтмить отчислить', 9)]"
126,15061,дать списать домашка списывать точить точить спалить,7,"[('породий логотип вконтакте', 3), ('отсылка ребрендинг', 2), ('', 0)]"
127,15059,,0,[]
128,15051,,0,"[('', 0), ('буквально', 1), ('итмый поделиться денюшка лэти млрд дать беднеть', 7), ('артур выбирать точка', 3)]"
129,15045,,0,"[('смешно дизлайк ставить', 3), ('первый очередь', 2)]"
130,15035,,0,"[('', 0), ('уйти эпоха', 2), ('стапа ит случиться цдо', 4), ('', 0), ('очень нужный вещь', 3)]"
