,text_tokens,text_length
457,допускать защита диплом долг библиотека выдать диплом защита,8
458,найти ауд оставить гардероб корпус,5
459,человек добрый подсказать глянуть список зач тов экзамен сложно ссылка кинуть,11
460,найти писать личка,3
461,,0
462,проходимый одиннадцатиклассник который прислать экскурсия слышать говорить фэл филологический факультет филологический электроника ффэла,13
463,отдать гардеробный пятый корпус,4
464,мочь решить идз физика цена договориться анон,7
465,фкть курс шаг нужно предпринять прохождение весенний летний практика сторона док нужный,12
466,отписаться коммент пж иметь желание возможность ответить вопрос учёба исит кура,11
467,весь привет потерять сегодня шарф серо черно белый находить,9
468,молодой жь турбодебаггер ещ приподавать кафедра вт,7
469,вуз команда турецкий борьба масло,5
470,успеть закрытый долг доп сессия долг переносить следующий семестр отчислять учиться фрт,12
471,рассказать старший курс сессия зимний зачёт экзамен каникулы зимний число анонимно,11
472,подсказать перевестись начало второй курс заочко перевести первый оставить второй курс,11
473,делать очень сильно балася особенно физически ездить транспорт уч бу,10
474,добрый день хотеть узнать зимой перевестись университет сложно вообще перевестись,10
475,потеряться больший синий тетрадь кольцо лекция матана аиго оставить предположительно четверг ауд вообще корпус потеряшка,15
476,анон обращение человек который отчислиться вуз свой желание восстанавливаться год сохраниться отсрочка информация юрист отсрочка должный сохраниться закончиться последний курс обучение дело лайкнуть пост узнать подробный написать наоборот человек который отчислиться восстановиться год пропасть отсрочка лайкнуть любой ответ важный очень благодарный,41
477,лаба методичка шейнмана диссипация отозваться пж анон,7
478,анан потерянный пенал корпус аудитория найти отписаться,7
479,потерять паспорт фамилия косарев найти сообщить,6
480,конспект лекция доценко аиго курс анонимно,6
481,готовый лаба схау вариант препод проценко курс анон,8
482,нибыть мочь помочь лаба химия анон,6
483,посоветовать хороший психиатр,3
484,мочь порекомендовать репетитор физика первый курс фкть знание предмет стремиться нуль,11
485,продавать услуга м ртвой душа мсг девушка писать лс,9
486,добрый день рассказать имаев дамир хабибович принимать экзамен предмет теория управление анон,12
487,выучить сдать аиг абросимов вид лектор практика занятие понимать анон,10
488,потерять наушник аирподс чёрный чехол корпус весь найти просить вернуть вознаграждение,11
489,студент курс фкть вести ооп кондратьев наталья юриевич отозваться,9
490,наслать наушник оставить гардероб го корпус,6
491,найти шарф варя отнести раздевалка корпус,6
492,уважаемый фэловец остаться лекция ммф твимс остаться ещё куратор жалко выкидывать отдать добрый рука,14
493,добрый время сутки искать человек который шейнман вести лаба физика очень нужный помощь анонимно,14
494,нибыть решать задача рцис анон плиз,6
495,нужно помочь лабораторный работа физика погрешность смочь дать знать лайкам комментарий цена договориться анон,14
496,третий пятый корпус потерять связка тр х ключ домофон синий ч рный найти просьба отписать жить улица классно анонимно,19
497,лежать вахта корпус забыть,4
498,оставить зонт корпус аудитория отнести гардероб корпус,7
499,вуз свой музыкальный группа,4
500,потерять кольцо вложить корпус предположительно основный корпус найти шанс,9
501,добрый день мочь посоветовать хороший репетирор программирование объяснять тема помогать дз контрольный анон,13
502,команда танк онлайн оурента офицер суппорт изида хорнет м,9
503,число корпус час потерять ч рный шапка видеть написать пж,10
504,карта имя александр торокова находиться гардероб корпус,7
505,весь привет недавно потерять пакет кросс красный шорты надеяться найти наслать писать лс,13
506,найти оставить ауд анонимно,4
507,мочь дать пара совет отлететь допёс колпак курс диф зачёт анон,11
508,находка гардероб корпус,3
509,оставить телефон корпус лежать гардероб,5
510,человек знающий физика дать знать лайкам комментарий нужный помощь решение задача сборник иродов цена вопрос договориться анонимно,17
511,вахта корпус,2
512,искать человек который лаба принимать иманбаев анон,7
513,оставить кроссовок аудитория отнести гардероб корпус анон,7
514,сегодня аудитория левый ряд парта оставить бежевый шапка парта просьба написать знать местоположение анон,14
515,добрый день потерять лиловый шарф аудитория рядом найти просить отнести гардероб корпус заранее благодарить,14
516,посоветовать книга физика который помочь понять теория подготовиться сессия курс,10
517,потерять черно белый зонтик рисунок разный кот аудитория яз наш л вернуть пж гардероб грустно анон,16
518,команда таркова,2
519,добрый время сутки кабинет оставить зонтик бабочка ч рной ручка третий ряд близкий выход аудитория просить найти принести гардероб корпус вернуть очень любим й заранее благодарить,26
520,стоить вступать студенческий отряд курс сложно совмещать уч бой анонимно,10
521,наш л корпус отдать кпп корпус,6
522,искать девочка который готовить рис грудка трата брать писать кома опыт готовка анон,13
523,выйти любовный треугольник анонимно,4
524,переводиться бюджет быстро вернуть деньга,5
525,девчонка курс мочь полайкать интересно посмотреть новенький пообщаться анон,9
526,команда апекс,2
527,искать репетитор физика курс кб уровень освоение предмет примерно нулевой цена договорный анонимно,13
528,искать боец хакатон ноябрь нужный хороший прогера,7
529,команда лола,2
530,добрый время сутки забыть внешний аккумулятор зарядка аудитория очень просить найти отнести аккумулятор зарядка гардероб пятый корпус заранее большой,19
531,человек который давать репетиторство тоэ лектор гончаров оплата договориться обидеть,10
532,найти карточка кб оставить вахта первый корпус,7
533,мочь помочь ассемблер анонимно,4
534,искать человек сильный программирование участие аннигиляция соперник хакатон ноябрь лично фкть поэтому навык пока оставлять желать хороший опыт участие хакатон проектный деятельность публичный выступление удаваться занимать победный место надеяться смочь найти крутой ребята попробовать взять призовой место,37
535,весь привет искать соседка подселение однокомнатный квартира заселяться следующий неделя год возраст желательно особый требование нету самый главное адекватность плата жеспособность учиться работать тренироваться станция метро парнас пешком минута метро стоимость квартира очень уютный просторный иметься необходимый удобство жизнь плита духовка стиральный машина телевизор фото отправить лс,47
536,забыть мышка коворкинг,3
537,найти наушник первый корпус потерять писать лс марка цвет номер аудитория,11
538,,0
539,потерять кольцо кпп,3
540,анонимно нибыть готовиться олимпиада профессионал,5
541,приветик искать сосед съ ма квартира откликнуться,7
542,прогульщица,1
543,весь дорого время сутки искать человек курс который лабораторный физика вести преподаватель шейнман л посредник леднев м г черемухин анон написать лайкам коммент,23
544,анонимно корпус находиться кафедра сквигология искать сайт найти подсказать,9
545,оставить наушник корпус аудитория найда написать лс спать,8
546,оставить шерстяной зелёный коричневый шарф ом корпус предположительно кк пара октябрь среда найти отписаться пост,15
547,мальчик девочка хотеть отдохнуть пятница хата лайкам отписаться,8
548,пройти неделя половина пара конь двинуть вс терпеть мука принимать почтение скука стоить способ поискать миг прогнать иначе скука сломить твой рассудок урезонить крайний мера знать прекрасный способ помогать описать мочь рассмешить сидеть пара клонить сон одолевать поддаваться вс малость постараться засна шь парта рука запихн шь большой усн шь смятение попад шь крышка скрытый дивный мир заставить выплеснуть кефир который выпить утро прощать сказать пора протереть немного пойда шь далёкий путь дорога знание больший малое ведущий будущее начало снова нибыть открыть приятный мочь,84
